date,continent,total_cases,total_deaths,reproduction_rate,total_tests,positive_rate,population,population_density,median_age,aged_65_older,life_expectancy
2020-02-24,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-02-25,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-02-26,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-02-27,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-02-28,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-02-29,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-01,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-02,Asia,1.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-03,Asia,2.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-04,Asia,4.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-05,Asia,4.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-06,Asia,4.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-07,Asia,4.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-08,Asia,5.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-09,Asia,7.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-10,Asia,8.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-11,Asia,11.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-12,Asia,12.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-13,Asia,13.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-14,Asia,15.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-15,Asia,16.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-16,Asia,18.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-17,Asia,20.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-18,Asia,24.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-19,Asia,25.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-20,Asia,29.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-21,Asia,30.0,,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-22,Asia,34.0,1.0,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-23,Asia,41.0,1.0,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-24,Asia,43.0,1.0,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-25,Asia,76.0,2.0,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-26,Asia,80.0,3.0,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-27,Asia,91.0,3.0,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-28,Asia,107.0,4.0,,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-29,Asia,118.0,4.0,1.46,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-30,Asia,146.0,4.0,1.47,,,38928341.0,54.422,18.6,2.581,64.83
2020-03-31,Asia,175.0,4.0,1.47,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-01,Asia,197.0,4.0,1.47,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-02,Asia,240.0,4.0,1.47,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-03,Asia,275.0,8.0,1.46,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-04,Asia,300.0,10.0,1.45,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-05,Asia,338.0,12.0,1.44,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-06,Asia,368.0,15.0,1.42,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-07,Asia,424.0,16.0,1.41,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-08,Asia,445.0,16.0,1.4,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-09,Asia,485.0,17.0,1.39,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-10,Asia,532.0,18.0,1.39,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-11,Asia,556.0,18.0,1.39,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-12,Asia,608.0,19.0,1.39,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-13,Asia,666.0,22.0,1.39,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-14,Asia,715.0,23.0,1.39,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-15,Asia,785.0,29.0,1.39,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-16,Asia,841.0,30.0,1.38,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-17,Asia,907.0,30.0,1.37,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-18,Asia,934.0,30.0,1.37,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-19,Asia,997.0,33.0,1.38,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-20,Asia,1027.0,36.0,1.38,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-21,Asia,1093.0,36.0,1.41,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-22,Asia,1177.0,40.0,1.44,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-23,Asia,1236.0,40.0,1.46,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-24,Asia,1331.0,43.0,1.49,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-25,Asia,1464.0,47.0,1.51,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-26,Asia,1532.0,52.0,1.52,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-27,Asia,1704.0,58.0,1.53,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-28,Asia,1830.0,59.0,1.53,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-29,Asia,1940.0,61.0,1.53,,,38928341.0,54.422,18.6,2.581,64.83
2020-04-30,Asia,2127.0,64.0,1.53,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-01,Asia,2291.0,68.0,1.53,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-02,Asia,2470.0,72.0,1.52,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-03,Asia,2705.0,85.0,1.52,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-04,Asia,2895.0,90.0,1.5,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-05,Asia,3225.0,95.0,1.49,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-06,Asia,3393.0,104.0,1.46,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-07,Asia,3564.0,106.0,1.45,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-08,Asia,3781.0,109.0,1.44,,,38928341.0,54.422,18.6,2.581,64.83
2020-05-09,Asia,4042.0,115.0,1.44,,,38928341.0,54.422,18.6,2.581,64.83
