City,Total_cases,Total_deaths,New_deaths,Active_cases,Total_tests,Date
New York ,188694,9385.0,758 ,162220,461601.0,04-12-2020
New Jersey ,61850,2350.0,167 ,58818,126735.0,04-12-2020
Michigan ,23993,1392.0, ,22158,76014.0,04-12-2020
Massachusetts ,22860,686.0, ,21445,108776.0,04-12-2020
Pennsylvania ,22833,507.0,6 ,21676,124890.0,04-12-2020
California ,22424,634.0,4 ,20850,182986.0,04-12-2020
Louisiana ,20595,840.0,34 ,19705,104045.0,04-12-2020
Florida ,19347,452.0,6 ,18715,183222.0,04-12-2020
Illinois ,19180,677.0, ,18453,92779.0,04-12-2020
Texas ,13484,271.0,4 ,11596,124553.0,04-12-2020
Georgia ,12452,433.0,1 ,11988,54453.0,04-12-2020
Connecticut ,11510,494.0, ,10966,39831.0,04-12-2020
Washington ,10448,494.0, ,8880,92999.0,04-12-2020
Maryland ,8225,235.0,29 ,7534,47238.0,04-12-2020
Indiana ,7928,343.0,13 ,7571,42489.0,04-12-2020
Colorado ,6893,274.0, ,6579,34873.0,04-12-2020
Ohio ,6250,247.0, ,6003,60471.0,04-12-2020
Virginia ,5274,141.0,11 ,5131,39985.0,04-12-2020
Tennessee ,5114,101.0, ,3627,66828.0,04-12-2020
North Carolina ,4520,87.0, ,4347,62139.0,04-12-2020
Missouri ,4024,114.0, ,3726,45064.0,04-12-2020
Arizona ,3539,115.0,7 ,3384,42109.0,04-12-2020
Alabama ,3450,93.0, ,3337,20605.0,04-12-2020
US Military ,3366,13.0, ,3054,0.0,04-12-2020
Wisconsin ,3213,137.0, ,3011,37893.0,04-12-2020
South Carolina ,3207,80.0, ,3127,30093.0,04-12-2020
Nevada ,2836,112.0,1 ,2474,29579.0,04-12-2020
Mississippi ,2781,96.0,3 ,2685,21101.0,04-12-2020
Rhode Island ,2665,63.0,7 ,2592,20350.0,04-12-2020
Utah ,2206,18.0, ,2162,42546.0,04-12-2020
Oklahoma ,1970,96.0,2 ,1352,22511.0,04-12-2020
District Of Columbia ,1875,50.0,3 ,1332,10640.0,04-12-2020
Kentucky ,1840,94.0, ,1440,24567.0,04-12-2020
Minnesota ,1621,70.0,6 ,709,37421.0,04-12-2020
Iowa ,1510,34.0, ,1387,17132.0,04-12-2020
Delaware ,1479,33.0, ,1255,11103.0,04-12-2020
Oregon ,1447,51.0, ,1396,28638.0,04-12-2020
Idaho ,1407,27.0, ,1380,14308.0,04-12-2020
Arkansas  ,1280,27.0,2 ,886,19722.0,04-12-2020
Kansas ,1268,55.0, ,1213,12343.0,04-12-2020
New Mexico ,1174,20.0, ,983,28692.0,04-12-2020
New Hampshire ,929,23.0, ,670,10925.0,04-12-2020
Puerto Rico ,897,44.0,2 ,849,7973.0,04-12-2020
Nebraska ,791,17.0, ,774,10710.0,04-12-2020
South Dakota ,730,6.0, ,528,8553.0,04-12-2020
Vermont ,727,27.0,2 ,700,9841.0,04-12-2020
Navajo Nation ,698,24.0,2 ,674,0.0,04-12-2020
Maine ,633,19.0, ,348,6625.0,04-12-2020
West Virginia ,593,6.0, ,504,16124.0,04-12-2020
Hawaii ,486,8.0, ,178,17953.0,04-12-2020
Montana ,387,6.0, ,212,8913.0,04-12-2020
North Dakota ,308,8.0,1 ,179,10350.0,04-12-2020
Wyoming ,261,, ,124,5614.0,04-12-2020
Alaska ,257,8.0, ,186,7732.0,04-12-2020
Guam ,133,5.0, ,70,605.0,04-12-2020
Grand Princess Ship ,103,3.0, ,100,0.0,04-12-2020
United States Virgin Islands ,51,1.0, ,7,370.0,04-12-2020
Diamond Princess Ship ,46,, ,46,46.0,04-12-2020
Northern Mariana Islands ,11,2.0, ,9,45.0,04-12-2020
Wuhan Repatriated ,3,, ,3,3.0,04-12-2020
New York ,195031,10056.0,671 ,167886,478357.0,04-13-2020
New Jersey ,61850,2350.0, ,58818,126735.0,04-13-2020
Massachusetts ,25475,756.0, ,23990,116730.0,04-13-2020
Michigan ,24638,1487.0, ,22708,76014.0,04-13-2020
Pennsylvania ,24199,561.0, ,22988,129792.0,04-13-2020
California ,23428,682.0,8 ,21806,203400.0,04-13-2020
Louisiana ,21016,884.0,44 ,20082,108091.0,04-13-2020
Illinois ,20852,720.0, ,20082,100735.0,04-13-2020
Florida ,20601,470.0,9 ,19951,197996.0,04-13-2020
Texas ,13906,287.0,9 ,11605,133226.0,04-13-2020
Georgia ,13315,464.0,22 ,12820,57021.0,04-13-2020
Connecticut ,12035,554.0, ,11431,41220.0,04-13-2020
Washington ,10530,508.0,3 ,8697,92999.0,04-13-2020
Maryland ,8936,262.0,27 ,8071,51751.0,04-13-2020
Indiana ,8236,350.0,7 ,7872,44539.0,04-13-2020
Colorado ,7303,290.0, ,6973,37153.0,04-13-2020
Ohio ,6604,253.0, ,6351,63243.0,04-13-2020
Virginia ,5747,149.0,8 ,5131,41401.0,04-13-2020
Tennessee ,5308,101.0, ,3703,70747.0,04-13-2020
North Carolina ,4857,96.0,6 ,4675,63388.0,04-13-2020
US Military ,4528,15.0,2 ,3925,,04-13-2020
Missouri ,4160,116.0, ,3860,45064.0,04-13-2020
Arizona ,3702,122.0,7 ,3540,42109.0,04-13-2020
Alabama ,3671,98.0,5 ,3553,29140.0,04-13-2020
Wisconsin ,3341,144.0, ,3132,39257.0,04-13-2020
South Carolina ,3319,82.0, ,3237,31426.0,04-13-2020
Rhode Island ,2976,73.0,10 ,2893,20350.0,04-13-2020
Nevada ,2971,114.0,2 ,2607,30628.0,04-13-2020
Mississippi ,2942,98.0,2 ,2844,21101.0,04-13-2020
Utah ,2303,18.0, ,2259,44234.0,04-13-2020
Oklahoma ,2069,99.0,3 ,1448,22511.0,04-13-2020
Kentucky ,1963,97.0, ,1560,25866.0,04-13-2020
District Of Columbia ,1955,52.0,2 ,1396,10934.0,04-13-2020
Iowa ,1710,43.0,2 ,993,17592.0,04-13-2020
Minnesota ,1650,70.0, ,738,38427.0,04-13-2020
Delaware ,1625,35.0, ,1377,11820.0,04-13-2020
Oregon ,1527,52.0, ,1475,29758.0,04-13-2020
Idaho ,1426,27.0, ,1375,14881.0,04-13-2020
Arkansas ,1398,29.0,2 ,993,20792.0,04-13-2020
Kansas ,1337,56.0, ,1153,13253.0,04-13-2020
New Mexico ,1245,26.0, ,924,30515.0,04-13-2020
New Hampshire ,985,23.0, ,726,10925.0,04-13-2020
Puerto Rico ,903,45.0,1 ,854,8157.0,04-13-2020
South Dakota ,868,6.0, ,655,9002.0,04-13-2020
Nebraska ,814,17.0, ,775,10991.0,04-13-2020
Vermont ,748,28.0,1 ,720,10365.0,04-13-2020
Maine ,698,19.0, ,406,12168.0,04-13-2020
Navajo Nation ,698,24.0, ,674,,04-13-2020
West Virginia ,626,9.0,1 ,534,16655.0,04-13-2020
Hawaii ,499,9.0, ,180,18827.0,04-13-2020
Montana ,394,7.0,1 ,216,8913.0,04-13-2020
North Dakota ,331,8.0, ,196,10781.0,04-13-2020
Alaska ,272,8.0, ,198,8038.0,04-13-2020
Wyoming ,270,, ,133,5614.0,04-13-2020
Guam ,133,5.0, ,70,605.0,04-13-2020
Grand Princess Ship ,103,3.0, ,100,,04-13-2020
United States Virgin Islands ,51,1.0, ,7,370.0,04-13-2020
Diamond Princess Ship ,46,, ,46,46.0,04-13-2020
